City;Gender;Senior Citizen;Partner;Dependents;Tenure Months;Phone Service;Multiple Lines;Internet Service;Online Security;Online Backup;Device Protection;Tech Support;Streaming TV;Streaming Movies;Contract;Paperless Billing;Payment Method;Monthly Charges;Total Charges;Churn Label;Churn Value;Churn Score;CLTV;Churn Reason
Midway City;Male;Yes;Yes;No;7;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;70,1;467,55;Yes;1;83;3669;Attitude of service provider
Sierra Madre;Male;Yes;Yes;No;58;No;No phone service;DSL;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;45,3;2651,2;Yes;1;100;5444;Service dissatisfaction
Newport Beach;Female;Yes;Yes;No;1;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;100,8;100,8;Yes;1;65;3128;Attitude of service provider
Pasadena;Female;No;Yes;No;53;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;One year;Yes;Bank transfer (automatic);94,85;5000,2;Yes;1;80;4328;Network reliability
Trabuco Canyon;Female;No;No;No;14;Yes;No;Fiber optic;No;Yes;No;No;No;Yes;Month-to-month;Yes;Electronic check;86,3;1180,95;Yes;1;74;3677;Attitude of service provider
Santa Ana;Female;No;No;No;28;Yes;Yes;Fiber optic;No;Yes;No;No;No;Yes;Month-to-month;Yes;Electronic check;89,95;2625,55;Yes;1;90;2468;Attitude of service provider
Glendale;Female;No;No;No;1;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;No;Bank transfer (automatic);29,95;29,95;Yes;1;95;4534;Long distance charges
Garden Grove;Female;No;Yes;No;1;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;102,45;102,45;Yes;1;85;4811;Attitude of service provider
Yorba Linda;Female;No;No;No;3;Yes;No;Fiber optic;No;No;Yes;Yes;No;No;Month-to-month;No;Credit card (automatic);80,1;217,55;Yes;1;65;4330;Attitude of service provider
Glendale;Female;No;Yes;No;1;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;24,8;24,8;Yes;1;94;4851;Product dissatisfaction
Ventura;Female;No;No;No;2;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;80,2;146,05;Yes;1;85;4381;Attitude of service provider
Oak View;Female;Yes;No;No;3;Yes;No;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;Yes;Electronic check;86,85;220,95;Yes;1;70;3561;Attitude of service provider
Piru;Male;No;Yes;No;1;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;74,5;74,5;Yes;1;75;5554;Attitude of service provider
Sun Valley;Male;No;No;No;2;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);46;84,5;Yes;1;76;2667;Don't know
Santa Barbara;Male;No;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;71,55;71,55;Yes;1;98;5739;Attitude of service provider
Panorama City;Male;No;Yes;No;4;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;No;Mailed check;50,05;179,35;Yes;1;82;3394;Don't know
Van Nuys;Female;No;Yes;No;1;Yes;No;DSL;No;No;No;No;Yes;No;Month-to-month;No;Mailed check;55,2;55,2;Yes;1;81;3638;Poor expertise of online support
Santa Barbara;Male;No;Yes;No;53;Yes;Yes;Fiber optic;Yes;No;Yes;No;No;Yes;Month-to-month;No;Electronic check;93,9;5029,2;Yes;1;68;5543;Attitude of service provider
North Hollywood;Male;No;No;No;2;Yes;Yes;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;54,4;114,1;Yes;1;81;2556;Price too high
Taft;Male;No;Yes;No;17;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);70,4;1214,05;Yes;1;67;4469;Attitude of service provider
Tipton;Female;Yes;No;No;21;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;94,25;1973,75;Yes;1;73;4819;Attitude of service provider
Covina;Male;No;No;No;1;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Mailed check;48,55;48,55;Yes;1;77;5687;Lack of self-service on Website
Marshall;Male;No;Yes;No;2;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;No;Electronic check;76,4;151,8;Yes;1;71;4340;Attitude of service provider
El Monte;Male;Yes;Yes;No;1;No;No phone service;DSL;No;Yes;No;No;Yes;No;Month-to-month;No;Electronic check;40,2;40,2;Yes;1;65;5828;Limited range of services
La Puente;Female;No;Yes;No;2;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);44,6;80,55;Yes;1;99;4884;Lack of affordable download/upload speed
La Puente;Male;Yes;No;No;3;No;No phone service;DSL;No;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;41,15;132,2;Yes;1;96;2314;Long distance charges
Mill Valley;Male;No;No;No;3;Yes;No;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;98,7;293,65;Yes;1;72;3916;Attitude of service provider
Ontario;Male;No;No;No;59;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19,35;1099,6;Yes;1;83;5084;Price too high
Stinson Beach;Male;Yes;No;No;10;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;79,25;793,55;Yes;1;87;3856;Attitude of service provider
Pomona;Male;No;No;No;1;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);24,8;24,8;Yes;1;73;5087;Service dissatisfaction
Aromas;Male;No;No;No;5;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);94,85;462,8;Yes;1;69;5701;Attitude of service provider
Boulder Creek;Female;No;No;No;2;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;85,7;169,8;Yes;1;95;2187;Attitude of service provider
Santa Cruz;Female;No;No;No;1;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Mailed check;95,65;95,65;Yes;1;87;3473;Attitude of service provider
Placentia;Female;No;Yes;No;1;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;No;Electronic check;78,8;78,8;Yes;1;87;5075;Attitude of service provider
Pittsburg;Male;No;No;No;3;Yes;Yes;Fiber optic;No;No;Yes;No;No;Yes;Month-to-month;No;Electronic check;91,85;257,05;Yes;1;91;2704;Attitude of service provider
Vallejo;Female;Yes;No;No;37;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;96,55;3580,3;Yes;1;81;4448;Attitude of service provider
Bonita;Male;No;No;No;10;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);44,85;435,4;Yes;1;83;4061;Poor expertise of phone support
Pioneer;Male;Yes;Yes;No;24;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;78,85;1772,25;Yes;1;65;3079;Attitude of service provider
Thornton;Male;No;No;No;36;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;84,9;3067,2;Yes;1;69;2455;Attitude of service provider
Whittier;Female;No;No;No;4;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Electronic check;75,35;338,1;Yes;1;92;2220;Attitude of service provider
Lakewood;Male;Yes;Yes;No;7;Yes;Yes;Fiber optic;Yes;Yes;No;No;No;Yes;Month-to-month;Yes;Credit card (automatic);94,7;673,1;Yes;1;75;3591;Attitude of service provider
San Pedro;Male;Yes;No;No;3;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;77;237,75;Yes;1;96;3128;Attitude of service provider
Carlsbad;Female;No;Yes;No;38;Yes;No;DSL;Yes;Yes;No;Yes;Yes;Yes;One year;No;Credit card (automatic);80,3;3058,65;Yes;1;81;2071;Limited range of services
San Jacinto;Female;Yes;No;No;5;Yes;No;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;Yes;Mailed check;84,85;415,55;Yes;1;74;3305;Attitude of service provider
El Cajon;Female;Yes;No;No;54;Yes;Yes;DSL;Yes;Yes;No;Yes;Yes;Yes;One year;No;Bank transfer (automatic);82,45;4350,1;Yes;1;83;4149;Long distance charges
Temecula;Male;Yes;No;No;1;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;73,65;73,65;Yes;1;86;5443;Attitude of service provider
Fellows;Female;No;No;No;3;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;75,5;220,6;Yes;1;79;5948;Attitude of service provider
Lebec;Female;No;Yes;No;3;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);74,75;229,5;Yes;1;65;3972;Attitude of service provider
Palomar Mountain;Male;No;Yes;No;68;Yes;Yes;DSL;No;Yes;Yes;Yes;No;Yes;One year;Yes;Bank transfer (automatic);75,8;5293,95;Yes;1;81;4903;Service dissatisfaction
Pauma Valley;Female;No;No;No;43;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Two year;Yes;Electronic check;104,6;4759,85;Yes;1;91;5250;Lack of self-service on Website
Onyx;Female;No;No;No;39;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;103,45;3994,45;Yes;1;83;4811;Attitude of service provider
Woody;Female;No;Yes;No;42;Yes;Yes;Fiber optic;No;No;Yes;Yes;No;No;Month-to-month;Yes;Electronic check;84,3;3588,4;Yes;1;100;2514;Attitude of service provider
Lompoc;Male;No;No;No;8;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;86,55;649,65;Yes;1;80;4193;Attitude of service provider
San Diego;Female;Yes;No;No;21;No;No phone service;DSL;Yes;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;41,9;840,1;Yes;1;97;4778;Don't know
Pismo Beach;Male;Yes;No;No;6;Yes;No;Fiber optic;Yes;No;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);85,15;503,6;Yes;1;90;5831;Attitude of service provider
San Diego;Male;Yes;Yes;No;27;No;No phone service;DSL;Yes;No;No;No;No;No;Month-to-month;No;Credit card (automatic);30,75;805,1;Yes;1;91;2927;Poor expertise of phone support
Johannesburg;Female;Yes;Yes;No;20;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;No;Electronic check;90,8;1951;Yes;1;87;2312;Attitude of service provider
Keene;Female;No;Yes;No;4;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;97,95;384,5;Yes;1;72;2570;Attitude of service provider
Lake Hughes;Male;No;No;No;32;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;Credit card (automatic);108,15;3432,9;Yes;1;69;2541;Attitude of service provider
San Diego;Male;No;No;No;1;Yes;No;DSL;No;Yes;No;No;No;No;Month-to-month;No;Mailed check;50,65;50,65;Yes;1;76;2431;Don't know
Pearblossom;Female;No;No;No;13;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;No;No;Month-to-month;No;Electronic check;89,4;1132,35;Yes;1;75;2226;Attitude of service provider
Indian Wells;Male;Yes;Yes;No;11;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19,95;214,75;Yes;1;80;5888;Limited range of services
Biola;Male;No;No;No;19;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;99,95;1931,75;Yes;1;76;3670;Attitude of service provider
Selma;Female;Yes;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69,65;69,65;Yes;1;82;4741;Attitude of service provider
Fresno;Female;No;No;No;5;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;85,2;474,8;Yes;1;87;4109;Attitude of service provider
Niland;Female;No;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;19,9;19,9;Yes;1;92;3351;Price too high
North Palm Springs;Male;No;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;19,6;19,6;Yes;1;95;3448;Product dissatisfaction
Fresno;Male;No;Yes;No;5;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;81,3;416,3;Yes;1;100;3819;Attitude of service provider
Chualar;Male;Yes;No;No;9;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;85,05;746,5;Yes;1;74;5095;Attitude of service provider
San Lucas;Male;Yes;Yes;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;70,3;70,3;Yes;1;100;4962;Attitude of service provider
Adelanto;Female;No;Yes;No;61;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;19,4;1182,55;Yes;1;82;4221;Don't know
Apple Valley;Male;No;No;No;12;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);45,4;518,9;Yes;1;68;2887;Don't know
Mountain View;Female;No;No;No;3;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;75,8;246,3;Yes;1;93;5475;Attitude of service provider
Redwood City;Male;Yes;No;No;20;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Credit card (automatic);71,3;1389,2;Yes;1;98;3684;Attitude of service provider
Caspar;Male;No;Yes;No;42;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);95,25;3959,35;Yes;1;89;2075;Attitude of service provider
Graton;Female;No;Yes;No;7;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69;506,9;Yes;1;65;5672;Attitude of service provider
South Lake Tahoe;Female;No;Yes;No;38;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;105;4026,4;Yes;1;92;2341;Attitude of service provider
Phelan;Female;No;Yes;No;13;Yes;No;DSL;No;No;No;No;No;Yes;Month-to-month;No;Electronic check;55,95;734,35;Yes;1;91;4498;Competitor had better devices
Redlands;Male;No;No;No;1;Yes;No;DSL;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;55;55;Yes;1;71;4877;Competitor had better devices
Montclair;Female;No;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);69,7;69,7;Yes;1;98;4620;Attitude of service provider
Ontario;Female;No;No;No;6;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;89,5;573,3;Yes;1;82;2898;Attitude of service provider
Alhambra;Male;Yes;Yes;No;3;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;105,9;334,65;Yes;1;71;2715;Attitude of service provider
Mount Laguna;Male;Yes;Yes;No;43;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;103;4414,3;Yes;1;99;2505;Attitude of service provider
Wrightwood;Female;No;Yes;No;48;No;No phone service;DSL;Yes;No;Yes;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);45,3;2145;Yes;1;65;4926;Price too high
Carlsbad;Male;No;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69,35;69,35;Yes;1;88;2843;Attitude of service provider
Julian;Male;No;Yes;Yes;5;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;80,15;385;Yes;1;84;5124;Attitude of service provider
San Diego;Female;Yes;Yes;No;27;Yes;No;Fiber optic;Yes;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;101,25;2754,45;Yes;1;77;4853;Attitude of service provider
Riverside;Male;No;No;No;22;No;No phone service;DSL;No;Yes;Yes;No;No;Yes;One year;Yes;Bank transfer (automatic);43,75;903,6;Yes;1;66;3099;Network reliability
Riverside;Female;Yes;No;No;5;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;No;Electronic check;28,45;131,05;Yes;1;89;4099;Limited range of services
San Diego;Male;Yes;No;No;25;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;89,5;2196,15;Yes;1;90;4849;Attitude of service provider
San Diego;Female;Yes;No;No;22;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);74,4;1692,6;Yes;1;81;2407;Attitude of service provider
San Diego;Female;No;Yes;No;30;Yes;Yes;Fiber optic;No;Yes;No;Yes;Yes;No;Month-to-month;Yes;Credit card (automatic);94,1;2804,45;Yes;1;94;5255;Attitude of service provider
Madera;Male;No;Yes;No;40;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;101,3;4113,1;Yes;1;70;2576;Attitude of support person
Madera;Male;No;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69,55;69,55;Yes;1;76;3042;Attitude of support person
San Joaquin;Female;No;Yes;No;16;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;No;Month-to-month;Yes;Credit card (automatic);89,45;1430,25;Yes;1;73;3696;Attitude of support person
Lodi;Female;No;No;No;12;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);89,75;1052,4;Yes;1;97;5671;Attitude of support person
Fort Jones;Male;Yes;No;No;10;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;95,35;898,35;Yes;1;75;5353;Attitude of support person
Los Angeles;Female;No;Yes;No;21;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);104,4;2200,25;Yes;1;67;5570;Attitude of support person
Los Angeles;Male;No;No;No;1;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;99,75;99,75;Yes;1;93;4214;Attitude of support person
Culver City;Female;No;No;No;9;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);74,25;639,65;Yes;1;76;5393;Attitude of support person
Huntington Beach;Male;No;No;No;13;No;No phone service;DSL;Yes;No;No;Yes;Yes;No;Month-to-month;Yes;Credit card (automatic);45,55;597;Yes;1;74;4856;Poor expertise of online support
Hermosa Beach;Female;Yes;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69,6;69,6;Yes;1;96;3438;Attitude of support person
Pacific Palisades;Male;No;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69,9;69,9;Yes;1;88;3349;Attitude of support person
Marina Del Rey;Female;No;Yes;No;3;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);84,75;264,85;Yes;1;100;2014;Attitude of support person
Santa Ana;Male;No;Yes;No;56;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;One year;No;Credit card (automatic);100,3;5614,45;Yes;1;67;5170;Competitor offered more data
Anaheim;Female;No;Yes;No;12;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19;233,55;Yes;1;72;3535;Competitor made better offer
Inglewood;Male;No;No;No;14;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;No;Month-to-month;Yes;Electronic check;89,95;1178,4;Yes;1;97;5463;Attitude of support person
Buena Park;Female;Yes;No;No;41;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;113,2;4689,5;Yes;1;89;3380;Attitude of support person
Buena Park;Male;Yes;No;No;13;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;90,5;1201,15;Yes;1;76;5394;Attitude of support person
